16:15:55 | INFO     | TICK:0000 | Starting Tank Battle Game Engine
16:15:59 | WARNING  | TICK:0000 | Failed to connect to agent for tank_2_4: timed out
16:15:59 | WARNING  | TICK:0000 | Failed to connect to agent for tank_2_5: timed out
16:15:59 | INFO     | TICK:0000 | Connected to 2/10 agents
16:15:59 | INFO     | TICK:0000 | Game initialization completed successfully
16:15:59 | INFO     | TICK:0000 | Starting main game loop...
16:15:59 | INFO     | TICK:0000 | Game loop started
16:15:59 | WARNING  | TICK:0001 | Agent tank_1_1 returned error: 500
16:16:07 | WARNING  | TICK:0002 | Agent tank_1_1 returned error: 500
16:16:15 | WARNING  | TICK:0003 | Agent tank_1_1 returned error: 500
16:16:23 | WARNING  | TICK:0004 | Agent tank_1_1 returned error: 500
16:16:31 | WARNING  | TICK:0005 | Agent tank_1_1 returned error: 500
16:16:40 | WARNING  | TICK:0006 | Agent tank_1_1 returned error: 500
16:16:48 | WARNING  | TICK:0007 | Agent tank_1_1 returned error: 500
16:16:56 | WARNING  | TICK:0008 | Agent tank_1_1 returned error: 500
16:17:04 | WARNING  | TICK:0009 | Agent tank_1_1 returned error: 500
16:17:12 | WARNING  | TICK:0010 | Agent tank_1_1 returned error: 500
16:17:20 | WARNING  | TICK:0011 | Agent tank_1_1 returned error: 500
16:17:28 | WARNING  | TICK:0012 | Agent tank_1_1 returned error: 500
16:17:36 | WARNING  | TICK:0013 | Agent tank_1_1 returned error: 500
16:17:44 | WARNING  | TICK:0014 | Agent tank_1_1 returned error: 500
16:17:52 | WARNING  | TICK:0015 | Agent tank_1_1 returned error: 500
16:18:00 | WARNING  | TICK:0016 | Agent tank_1_1 returned error: 500
16:18:08 | WARNING  | TICK:0017 | Agent tank_1_1 returned error: 500
16:18:16 | WARNING  | TICK:0018 | Agent tank_1_1 returned error: 500
16:18:24 | WARNING  | TICK:0019 | Agent tank_1_1 returned error: 500
16:18:32 | WARNING  | TICK:0020 | Agent tank_1_1 returned error: 500
16:18:40 | WARNING  | TICK:0021 | Agent tank_1_1 returned error: 500
16:18:48 | WARNING  | TICK:0022 | Agent tank_1_1 returned error: 500
16:18:56 | WARNING  | TICK:0023 | Agent tank_1_1 returned error: 500
16:19:04 | WARNING  | TICK:0024 | Agent tank_1_1 returned error: 500
16:19:12 | WARNING  | TICK:0025 | Agent tank_1_1 returned error: 500
16:19:20 | WARNING  | TICK:0026 | Agent tank_1_1 returned error: 500
16:19:28 | WARNING  | TICK:0027 | Agent tank_1_1 returned error: 500
16:19:36 | WARNING  | TICK:0028 | Agent tank_1_1 returned error: 500
16:19:44 | WARNING  | TICK:0029 | Agent tank_1_1 returned error: 500
16:19:52 | WARNING  | TICK:0030 | Agent tank_1_1 returned error: 500
16:20:00 | WARNING  | TICK:0031 | Agent tank_1_1 returned error: 500
16:20:08 | WARNING  | TICK:0032 | Agent tank_1_1 returned error: 500
16:20:16 | WARNING  | TICK:0033 | Agent tank_1_1 returned error: 500
16:20:24 | WARNING  | TICK:0034 | Agent tank_1_1 returned error: 500
