01:03:47 | WARNING  | TICK:0000 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:22:32 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:22:32 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:24:12 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:24:12 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:24:12 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:25:46 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:25:46 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:25:46 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:27:14 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:27:14 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:27:14 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:28:46 | WARNING  | TICK:2536 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:28:46 | WARNING  | TICK:2536 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:28:46 | WARNING  | TICK:2536 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:30:22 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:30:22 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:30:22 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:32:03 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:32:03 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:32:03 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:33:30 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:33:30 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:33:30 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:34:59 | WARNING  | TICK:2538 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:34:59 | WARNING  | TICK:2538 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:34:59 | WARNING  | TICK:2538 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:36:31 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:36:31 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:36:31 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:37:51 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:37:51 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:37:51 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:39:27 | WARNING  | TICK:2554 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:39:27 | WARNING  | TICK:2554 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:39:27 | WARNING  | TICK:2554 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:41:04 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:41:04 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:41:04 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:42:34 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:42:34 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:42:34 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:44:02 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:44:02 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:44:02 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:45:33 | WARNING  | TICK:2549 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:45:33 | WARNING  | TICK:2549 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:45:33 | WARNING  | TICK:2549 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:47:05 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:47:05 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:47:05 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:48:38 | WARNING  | TICK:2544 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:48:38 | WARNING  | TICK:2544 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:48:38 | WARNING  | TICK:2544 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:50:24 | WARNING  | TICK:2551 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:50:24 | WARNING  | TICK:2551 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:50:24 | WARNING  | TICK:2551 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:52:15 | WARNING  | TICK:2545 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:52:15 | WARNING  | TICK:2545 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:52:15 | WARNING  | TICK:2545 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:53:53 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:53:53 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:53:53 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:55:42 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:55:42 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:55:42 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:57:12 | WARNING  | TICK:2551 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:57:12 | WARNING  | TICK:2551 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:57:12 | WARNING  | TICK:2551 | Spawn position (41.0, 41.0) blocked, searching for clear spot
01:58:52 | WARNING  | TICK:2539 | Spawn position (25.0, 25.0) blocked, searching for clear spot
01:58:52 | WARNING  | TICK:2539 | Spawn position (33.0, 33.0) blocked, searching for clear spot
01:58:52 | WARNING  | TICK:2539 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:00:28 | WARNING  | TICK:2549 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:00:28 | WARNING  | TICK:2549 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:00:28 | WARNING  | TICK:2549 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:01:58 | WARNING  | TICK:2551 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:01:58 | WARNING  | TICK:2551 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:01:58 | WARNING  | TICK:2551 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:03:18 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:03:18 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:03:18 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:04:40 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:04:40 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:04:40 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:06:14 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:06:14 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:06:14 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:07:41 | WARNING  | TICK:2554 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:07:41 | WARNING  | TICK:2554 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:07:41 | WARNING  | TICK:2554 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:09:11 | WARNING  | TICK:2551 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:09:11 | WARNING  | TICK:2551 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:09:11 | WARNING  | TICK:2551 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:10:46 | WARNING  | TICK:2554 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:10:46 | WARNING  | TICK:2554 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:10:46 | WARNING  | TICK:2554 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:12:19 | WARNING  | TICK:2549 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:12:19 | WARNING  | TICK:2549 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:12:19 | WARNING  | TICK:2549 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:13:52 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:13:52 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:13:52 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:15:29 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:15:29 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:15:29 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:16:58 | WARNING  | TICK:2547 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:16:58 | WARNING  | TICK:2547 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:16:58 | WARNING  | TICK:2547 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:18:39 | WARNING  | TICK:2542 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:18:39 | WARNING  | TICK:2542 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:18:39 | WARNING  | TICK:2542 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:20:12 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:20:12 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:20:12 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:21:55 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:21:55 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:21:55 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:23:48 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:23:48 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:23:48 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:25:23 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:25:23 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:25:23 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:27:05 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:27:05 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:27:05 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:28:38 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:28:38 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:28:38 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:29:58 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:29:58 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:29:58 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:31:36 | WARNING  | TICK:2546 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:31:36 | WARNING  | TICK:2546 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:31:36 | WARNING  | TICK:2546 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:33:14 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:33:14 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:33:14 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:34:48 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:34:48 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:34:48 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:36:07 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:36:07 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:36:07 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:37:46 | WARNING  | TICK:2542 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:37:46 | WARNING  | TICK:2542 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:37:46 | WARNING  | TICK:2542 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:39:24 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:39:24 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:39:24 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:41:07 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:41:07 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:41:07 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:42:54 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:42:54 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:42:54 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:44:17 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:44:17 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:44:17 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:46:06 | WARNING  | TICK:2554 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:46:06 | WARNING  | TICK:2554 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:46:06 | WARNING  | TICK:2554 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:47:41 | WARNING  | TICK:2552 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:47:41 | WARNING  | TICK:2552 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:47:41 | WARNING  | TICK:2552 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:49:13 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:49:13 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:49:13 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:50:46 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:50:46 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:50:46 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:52:24 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:52:24 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:52:24 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:54:04 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:54:04 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:54:04 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:55:28 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:55:28 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:55:28 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:57:11 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:57:11 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:57:11 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
02:58:46 | WARNING  | TICK:2536 | Spawn position (25.0, 25.0) blocked, searching for clear spot
02:58:46 | WARNING  | TICK:2536 | Spawn position (33.0, 33.0) blocked, searching for clear spot
02:58:46 | WARNING  | TICK:2536 | Spawn position (41.0, 41.0) blocked, searching for clear spot
03:00:07 | WARNING  | TICK:2507 | Spawn position (25.0, 25.0) blocked, searching for clear spot
03:00:07 | WARNING  | TICK:2507 | Spawn position (33.0, 33.0) blocked, searching for clear spot
03:00:07 | WARNING  | TICK:2507 | Spawn position (41.0, 41.0) blocked, searching for clear spot
03:01:43 | WARNING  | TICK:2533 | Spawn position (25.0, 25.0) blocked, searching for clear spot
03:01:43 | WARNING  | TICK:2533 | Spawn position (33.0, 33.0) blocked, searching for clear spot
03:01:43 | WARNING  | TICK:2533 | Spawn position (41.0, 41.0) blocked, searching for clear spot
03:03:06 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
03:03:06 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
03:03:06 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
03:04:34 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
03:04:34 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
03:04:34 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
03:06:18 | WARNING  | TICK:2536 | Spawn position (25.0, 25.0) blocked, searching for clear spot
03:06:18 | WARNING  | TICK:2536 | Spawn position (33.0, 33.0) blocked, searching for clear spot
03:06:18 | WARNING  | TICK:2536 | Spawn position (41.0, 41.0) blocked, searching for clear spot
03:08:00 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
03:08:00 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
03:08:00 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
03:09:57 | WARNING  | TICK:2529 | Spawn position (25.0, 25.0) blocked, searching for clear spot
03:09:57 | WARNING  | TICK:2529 | Spawn position (33.0, 33.0) blocked, searching for clear spot
03:09:57 | WARNING  | TICK:2529 | Spawn position (41.0, 41.0) blocked, searching for clear spot
03:11:36 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
03:11:36 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
03:11:36 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
03:13:21 | WARNING  | TICK:2549 | Spawn position (25.0, 25.0) blocked, searching for clear spot
03:13:21 | WARNING  | TICK:2549 | Spawn position (33.0, 33.0) blocked, searching for clear spot
03:13:21 | WARNING  | TICK:2549 | Spawn position (41.0, 41.0) blocked, searching for clear spot
03:14:58 | WARNING  | TICK:2513 | Spawn position (25.0, 25.0) blocked, searching for clear spot
03:14:58 | WARNING  | TICK:2513 | Spawn position (33.0, 33.0) blocked, searching for clear spot
03:14:58 | WARNING  | TICK:2513 | Spawn position (41.0, 41.0) blocked, searching for clear spot
03:16:50 | WARNING  | TICK:2539 | Spawn position (25.0, 25.0) blocked, searching for clear spot
03:16:50 | WARNING  | TICK:2539 | Spawn position (33.0, 33.0) blocked, searching for clear spot
03:16:50 | WARNING  | TICK:2539 | Spawn position (41.0, 41.0) blocked, searching for clear spot
03:18:23 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
03:18:23 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
03:18:23 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
03:19:55 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
03:19:55 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
03:19:55 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
03:21:46 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
03:21:46 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
03:21:46 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
03:23:17 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
03:23:17 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
03:23:17 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
03:24:52 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
03:24:52 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
03:24:52 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
03:26:34 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
03:26:34 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
03:26:34 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
03:28:13 | WARNING  | TICK:2518 | Spawn position (25.0, 25.0) blocked, searching for clear spot
03:28:13 | WARNING  | TICK:2518 | Spawn position (33.0, 33.0) blocked, searching for clear spot
03:28:13 | WARNING  | TICK:2518 | Spawn position (41.0, 41.0) blocked, searching for clear spot
03:29:38 | WARNING  | TICK:2548 | Spawn position (25.0, 25.0) blocked, searching for clear spot
03:29:38 | WARNING  | TICK:2548 | Spawn position (33.0, 33.0) blocked, searching for clear spot
03:29:38 | WARNING  | TICK:2548 | Spawn position (41.0, 41.0) blocked, searching for clear spot
03:31:11 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
03:31:11 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
03:31:11 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
03:32:54 | WARNING  | TICK:2553 | Spawn position (25.0, 25.0) blocked, searching for clear spot
03:32:54 | WARNING  | TICK:2553 | Spawn position (33.0, 33.0) blocked, searching for clear spot
03:32:54 | WARNING  | TICK:2553 | Spawn position (41.0, 41.0) blocked, searching for clear spot
03:34:34 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
03:34:34 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
03:34:34 | WARNING  | TICK:2534 | Spawn position (41.0, 41.0) blocked, searching for clear spot
03:36:13 | WARNING  | TICK:2534 | Spawn position (25.0, 25.0) blocked, searching for clear spot
03:36:13 | WARNING  | TICK:2534 | Spawn position (33.0, 33.0) blocked, searching for clear spot
