episode,map,seed,success,error,winner_team,total_ticks,elapsed_sec,fitness,kills,damage,alive,enemy_alive,win_component
44,advanced_road_trees.csv,86,True,,2,2534,84.2326,-210.0,0.0,0.0,0.0,1.0,-200.0
45,advanced_road_trees.csv,87,True,,2,2534,89.8359,-210.0,0.0,0.0,0.0,1.0,-200.0
46,advanced_road_trees.csv,88,True,,2,2547,80.0214,-200.0,0.0,40.0,0.0,1.0,-200.0
47,advanced_road_trees.csv,89,True,,2,2542,93.5278,-210.0,0.0,0.0,0.0,1.0,-200.0
48,advanced_road_trees.csv,90,True,,2,2534,84.8234,-200.0,0.0,40.0,0.0,1.0,-200.0
49,advanced_road_trees.csv,91,True,,2,2534,95.733,-210.0,0.0,0.0,0.0,1.0,-200.0
50,advanced_road_trees.csv,92,True,,2,2534,103.909,-200.0,0.0,40.0,0.0,1.0,-200.0
51,advanced_road_trees.csv,93,True,,2,2534,87.2659,-210.0,0.0,0.0,0.0,1.0,-200.0
52,advanced_road_trees.csv,94,True,,2,2534,94.6135,-210.0,0.0,0.0,0.0,1.0,-200.0
53,advanced_road_trees.csv,95,True,,2,2534,85.3509,-210.0,0.0,0.0,0.0,1.0,-200.0
54,advanced_road_trees.csv,96,True,,2,2534,71.7213,-200.0,0.0,40.0,0.0,1.0,-200.0
55,advanced_road_trees.csv,97,True,,2,2546,90.3368,-210.0,0.0,0.0,0.0,1.0,-200.0
56,advanced_road_trees.csv,98,True,,2,2534,89.1895,-200.0,0.0,40.0,0.0,1.0,-200.0
57,advanced_road_trees.csv,99,True,,2,2534,86.5743,-210.0,0.0,0.0,0.0,1.0,-200.0
58,advanced_road_trees.csv,100,True,,2,2534,70.5822,-190.0,0.0,80.0,0.0,1.0,-200.0
59,advanced_road_trees.csv,101,True,,2,2542,90.7308,-210.0,0.0,0.0,0.0,1.0,-200.0
60,advanced_road_trees.csv,102,True,,2,2534,89.6243,-210.0,0.0,0.0,0.0,1.0,-200.0
61,advanced_road_trees.csv,103,True,,2,2534,95.7417,-190.0,0.0,80.0,0.0,1.0,-200.0
62,advanced_road_trees.csv,104,True,,2,2534,97.6943,-210.0,0.0,0.0,0.0,1.0,-200.0
63,advanced_road_trees.csv,105,True,,2,2534,75.1496,-200.0,0.0,40.0,0.0,1.0,-200.0
64,advanced_road_trees.csv,106,True,,2,2554,101.2915,-210.0,0.0,0.0,0.0,1.0,-200.0
65,advanced_road_trees.csv,107,True,,2,2552,87.31,-210.0,0.0,0.0,0.0,1.0,-200.0
66,advanced_road_trees.csv,108,True,,2,2534,84.1821,-210.0,0.0,0.0,0.0,1.0,-200.0
67,advanced_road_trees.csv,109,True,,2,2534,85.9269,-210.0,0.0,0.0,0.0,1.0,-200.0
68,advanced_road_trees.csv,110,True,,2,2534,89.088,-210.0,0.0,0.0,0.0,1.0,-200.0
69,advanced_road_trees.csv,111,True,,2,2534,92.4219,-200.0,0.0,40.0,0.0,1.0,-200.0
70,advanced_road_trees.csv,112,True,,2,2534,75.7832,-200.0,0.0,40.0,0.0,1.0,-200.0
71,advanced_road_trees.csv,113,True,,2,2534,95.2355,-210.0,0.0,0.0,0.0,1.0,-200.0
72,advanced_road_trees.csv,114,True,,2,2536,87.4909,-210.0,0.0,0.0,0.0,1.0,-200.0
73,advanced_road_trees.csv,115,True,,2,2507,72.7892,-210.0,0.0,40.0,0.0,2.0,-200.0
74,advanced_road_trees.csv,116,True,,2,2533,87.7442,-220.0,0.0,0.0,0.0,2.0,-200.0
75,advanced_road_trees.csv,117,True,,2,2534,74.7037,-200.0,0.0,40.0,0.0,1.0,-200.0
76,advanced_road_trees.csv,118,True,,2,2534,80.1557,-200.0,0.0,40.0,0.0,1.0,-200.0
77,advanced_road_trees.csv,119,True,,2,2536,95.1789,-210.0,0.0,0.0,0.0,1.0,-200.0
78,advanced_road_trees.csv,120,True,,2,2534,94.1366,-210.0,0.0,0.0,0.0,1.0,-200.0
79,advanced_road_trees.csv,121,True,,2,2529,108.4919,-220.0,0.0,0.0,0.0,2.0,-200.0
80,advanced_road_trees.csv,122,True,,2,2534,92.013,-210.0,0.0,0.0,0.0,1.0,-200.0
81,advanced_road_trees.csv,123,True,,2,2549,97.0993,-200.0,0.0,40.0,0.0,1.0,-200.0
82,advanced_road_trees.csv,124,True,,2,2513,88.8869,-220.0,0.0,0.0,0.0,2.0,-200.0
83,advanced_road_trees.csv,125,True,,2,2539,103.6745,-210.0,0.0,0.0,0.0,1.0,-200.0
84,advanced_road_trees.csv,126,True,,2,2534,85.6415,-210.0,0.0,0.0,0.0,1.0,-200.0
85,advanced_road_trees.csv,127,True,,2,2534,84.1499,-200.0,0.0,40.0,0.0,1.0,-200.0
86,advanced_road_trees.csv,128,True,,2,2534,103.1565,-210.0,0.0,0.0,0.0,1.0,-200.0
87,advanced_road_trees.csv,129,True,,2,2534,83.409,-210.0,0.0,0.0,0.0,1.0,-200.0
88,advanced_road_trees.csv,130,True,,2,2534,87.4931,-210.0,0.0,0.0,0.0,1.0,-200.0
89,advanced_road_trees.csv,131,True,,2,2534,93.5073,-210.0,0.0,0.0,0.0,1.0,-200.0
90,advanced_road_trees.csv,132,True,,2,2518,91.9154,-220.0,0.0,0.0,0.0,2.0,-200.0
91,advanced_road_trees.csv,133,True,,2,2548,77.1744,-200.0,0.0,40.0,0.0,1.0,-200.0
92,advanced_road_trees.csv,134,True,,2,2534,83.8572,-210.0,0.0,0.0,0.0,1.0,-200.0
93,advanced_road_trees.csv,135,True,,2,2553,95.4196,-210.0,0.0,0.0,0.0,1.0,-200.0
94,advanced_road_trees.csv,136,True,,2,2534,91.4812,-210.0,0.0,0.0,0.0,1.0,-200.0
95,advanced_road_trees.csv,137,True,,2,2534,90.83,-210.0,0.0,0.0,0.0,1.0,-200.0
96,advanced_road_trees.csv,138,True,,2,2523,93.853,-210.0,0.0,40.0,0.0,2.0,-200.0
97,advanced_road_trees.csv,139,True,,2,2534,91.6415,-210.0,0.0,0.0,0.0,1.0,-200.0
98,advanced_road_trees.csv,140,True,,2,2534,89.2542,-200.0,0.0,40.0,0.0,1.0,-200.0
99,advanced_road_trees.csv,141,True,,2,2534,85.964,-200.0,0.0,40.0,0.0,1.0,-200.0
